,tsp_file,tsplib-tsp_20_tsp20_dcd_global-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_global-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_local-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_global-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_local-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_random-greedy-t1-0-59,tsplib-tsp_20_tsp20_dcd_local-greedy-t1-0-59,tsplib-tsp_20_tsp20_default-greedy-t1-0-59,tsplib-tsp_100_tsp100_default-greedy-t1-0-59,tsplib-tsp_50_tsp50_default-greedy-t1-0-59,tsplib-tsp_20_tsp20_dcd_random-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_random-greedy-t1-0-59
30,pcb442.npy,94421.21472657035,83251.2625773801,88451.86793456573,92772.45084070184,88805.29462658867,84839.48003221292,92102.9959411773,95612.8400424055,89574.47659326174,88531.9779847576,99157.71310075809,85709.14998469157
31,pr1002.npy,610948.3053534405,517818.57559374114,583078.4530324544,562265.5771080233,562909.7962536043,516997.1222831453,614552.0457442092,560770.9735958115,621983.8679972186,629170.7825715311,571068.6685234952,610896.7326013779
32,pr107.npy,57346.726020775066,168778.72743970738,73289.35236516921,53913.76756091937,53216.369823312765,52245.545630193985,58232.29232846403,54109.85272099486,59270.367654458976,51687.904620463625,64096.98495066237,157399.05805678313
33,pr124.npy,77657.91425540614,71974.2162058105,75701.40375453855,88699.0786125562,71942.03147249733,72450.11642235132,75481.13964580139,73414.58406250391,77238.83741081087,77228.08870238757,73752.5007403085,81095.23456445985
34,pr136.npy,130306.62634452317,132792.25997172497,119434.51249263389,137232.04259706926,128502.65195732021,132851.9862831764,133238.82971752796,130838.75653880954,136235.11696726663,128188.69975387146,135969.351596836,141903.1104929501
35,pr144.npy,74688.04654457835,72541.09235933959,92545.8993307539,75955.95967226384,70723.5595029556,71174.96339595487,78041.85756178213,75493.9896480885,74209.2916924406,77307.85347336854,77749.44313216681,117181.32318346198
36,pr152.npy,97535.39744866113,94726.28693998505,100284.15068608413,106816.99029917983,91625.28839984245,97413.69124853841,103464.79819258548,102988.21849286974,92171.20504346215,99167.28260686748,94290.51729727622,95002.3449523204
37,pr226.npy,102825.12112467342,97588.13379643574,113142.82809099123,103112.4750746737,91266.20984481797,101608.2326523249,121110.87894914347,103417.2201528576,106907.21780168999,102128.96385709611,101599.72823916502,110372.92846230413
38,pr264.npy,89430.98221178015,75204.98315696511,76611.50816279183,82636.78976847255,76118.38268129213,84760.04823017432,80489.49361360524,89708.99905341624,370035.7563508199,80939.60557112304,80768.2406104262,84210.87308324565
39,pr299.npy,89253.67194236036,81187.12198192666,87003.82647737944,82895.79051718325,83811.2727685723,80397.15668690126,94001.1554745112,87680.00043472843,95246.0422598882,85554.05635126603,95092.72522317071,86948.19583412752
40,pr439.npy,207142.8353703814,223731.60132577064,237072.18613473547,350939.4969539278,241197.05842203254,204802.9448305118,199906.80165487042,203467.09682197985,857424.2924818959,234201.55762178768,206221.90497755373,990696.6910385792
41,pr76.npy,119255.0459672129,129267.81769382388,148123.70215123502,126582.14342394417,128993.77585101119,121076.71207114712,125453.49147043157,131593.88501127934,125955.49939038098,123183.74438259988,128310.21812884907,134745.96939143608
42,rat195.npy,3930.6018252421213,3630.490177111455,3815.5011393416394,4003.6159434331794,3804.8559353470873,3715.4314703014843,3871.2445180745312,3930.493752105121,4059.6369583283654,3893.101378367913,3890.0893055065108,3894.9418825243315
43,rat575.npy,13393.942146043793,12118.450408632372,12664.020661351451,13119.454914287355,12699.182415917177,11904.215525221553,13798.706123903823,13642.752687410151,13916.234258224416,12840.466460564669,13424.77082773971,12868.114052383216
44,rat783.npy,18661.644168034163,17115.86932816769,17603.567992006887,19956.797238217245,18044.405833803117,17191.264301268548,19070.987515527286,18363.216045382327,18848.217335722453,16926.883026338295,18922.444413774254,17984.18576193573
45,rat99.npy,1884.0345389945187,1724.6481091296046,1636.6086984036206,1728.4256351125696,1716.123551277593,1754.2470900509882,1745.6624025656236,1856.5963400941532,1970.65178254963,1747.2840447280403,1803.6461174022859,1711.7268251938656
46,rd100.npy,11462.040516537398,10741.607520383333,10866.19733534554,10705.47610735201,10512.036149181808,10136.3134567301,10741.584296538693,10627.050406306145,10074.184783084325,9978.624162769867,10262.084020846172,10961.159636083581
47,rd400.npy,27880.16977459892,24416.117662446,26053.467705312734,26142.311280689224,27436.604083148835,24018.518205682485,28467.205990534905,26373.814000249928,29030.902184501232,26151.061863183462,27145.626673942006,28518.235649129525
48,rl1304.npy,748329.0764584175,657297.6573830151,762879.8752683947,658745.6109220184,706326.2028764213,687258.5406132343,668582.0251598398,633296.3972408759,624757.0841793669,781653.0126148545,646442.7796494366,737420.8848265309
49,rl1323.npy,776316.0568750123,674511.3375701526,707940.376891476,726294.009975687,762626.8183009503,670088.7224495442,721534.8660621264,708838.5192270618,672276.8186026757,755953.2092393197,651123.7580136451,817084.8067439296
